title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm128925;Chamatkar;MOVIE;1992;G;171;['comedy', 'fantasy', 'drama', 'crime'];['IN'];tt0126234;65;61990;0
tm52871;Soldier;MOVIE;1998;Unknown;156;['thriller', 'action', 'drama', 'romance'];['IN'];tt0211634;62;30250;0
ts28516;Okupas;SHOW;2000;TV-MA;40;['crime', 'drama'];['AR'];tt0289649;90;23260;10
tm62385;Hum Saath Saath Hain;MOVIE;1999;G;177;['fantasy', 'romance', 'family', 'drama'];['IN'];tt0216817;62;84540;0
tm184502;Kabhi Haan Kabhi Naa;MOVIE;1994;G;158;['comedy', 'drama', 'music', 'romance'];['IN'];tt0110222;76;182240;0
tm7810;Nightmare in Columbia County;MOVIE;1991;Unknown;100;['drama', 'crime', 'thriller'];['US'];tt0102537;55;3410;0
tm27601;Phir Bhi Dil Hai Hindustani;MOVIE;2000;PG-13;160;['comedy', 'romance', 'drama'];['IN'];tt0222270;61;75560;0
tm8687;Sam Kinison: Family Entertainment Hour;MOVIE;1991;Unknown;49;['comedy'];['US'];;;;0
tm47530;Jeans;MOVIE;1998;Unknown;175;['drama', 'romance', 'comedy'];['IN'];tt0151121;64;35670;0
tm105716;Chaahat;MOVIE;1996;G;155;['drama', 'romance'];['IN'];tt0172234;55;28370;0
tm117873;Hum Aapke Hain Koun..!;MOVIE;1994;Unknown;206;['romance', 'comedy', 'drama'];['IN'];tt0110076;75;209860;0
tm189773;Maya Memsaab;MOVIE;1993;PG-13;126;['romance', 'drama', 'thriller'];['IN'];tt0137100;54;21770;0
tm7032;Out of Life;MOVIE;1991;Unknown;97;['war', 'drama', 'crime', 'european'];['IT', 'LB', 'BE', 'FR'];tt0102058;69;3650;0
tm58893;Duplicate;MOVIE;1998;PG;165;['comedy', 'action', 'crime', 'thriller'];['IN'];tt0164550;55;75570;0
tm340430;Govindha Govindha;MOVIE;1993;Unknown;145;['drama', 'action', 'crime'];['IN'];tt0192087;66;3510;0
tm184326;Damini;MOVIE;1993;Unknown;180;['drama', 'crime'];['IN'];tt0106655;78;34900;0
